portion_id	portion_submitter_id	case_id	case_submitter_id	project_id	sample_id	sample_submitter_id	state	portion_number	weight	is_ffpe
604e9ce4-0757-4211-bac0-0ab0b450c6ea	TCGA-BH-A1EV-11A-24	417dea5f-f68e-4dab-940e-43ae8c67e5e6	TCGA-BH-A1EV	TCGA-BRCA	1b3867a3-80db-417d-8e5c-f6f602c14760	TCGA-BH-A1EV-11A	live	24	260.0	False
59df0cbd-0875-424c-ab02-a41712c09a3b	TCGA-A8-A07B-10A-01	b43e41af-1d82-4b5f-b8f1-add0510e6b86	TCGA-A8-A07B	TCGA-BRCA	9a73732b-3bc0-4677-bda2-78535f08c232	TCGA-A8-A07B-10A	live	01	--	False
42fcbf2a-c438-40ea-a845-f92099de1b01	TCGA-A8-A07B-01A-11	b43e41af-1d82-4b5f-b8f1-add0510e6b86	TCGA-A8-A07B	TCGA-BRCA	685fa2ea-3dff-450a-8ea6-e97dfe9000a4	TCGA-A8-A07B-01A	live	11	30.0	False
790cab85-343e-4bef-b64f-a0c7f8b57c2d	TCGA-C8-A3M8-10A-01	c1e704d6-a33b-4891-90bd-992b0040c075	TCGA-C8-A3M8	TCGA-BRCA	09b9b2d0-f77a-4b61-a72e-10697c270081	TCGA-C8-A3M8-10A	live	01	2.0	False
4e36de34-5057-4b1b-b481-39dcbf7a5f46	TCGA-C8-A3M8-01A-11	c1e704d6-a33b-4891-90bd-992b0040c075	TCGA-C8-A3M8	TCGA-BRCA	122305ed-ca1e-431f-a332-0ac3409cded2	TCGA-C8-A3M8-01A	live	11	30.0	False
45db31fd-5919-4580-8641-31aec5565486	TCGA-C8-A3M8-01A-21-A24A-20	c1e704d6-a33b-4891-90bd-992b0040c075	TCGA-C8-A3M8	TCGA-BRCA	122305ed-ca1e-431f-a332-0ac3409cded2	TCGA-C8-A3M8-01A	live	21	--	False
37b8590a-59c4-4037-be93-b54a85887724	TCGA-A7-A0CE-11A-21	9d95a65b-e41d-4f93-92d4-99dce29ff40d	TCGA-A7-A0CE	TCGA-BRCA	139c8065-f56a-45f6-bc7e-7841f85a31ae	TCGA-A7-A0CE-11A	live	21	30.0	False
37683509-8481-4fa4-9abe-990fe5edede6	TCGA-A7-A0CE-01A-11	9d95a65b-e41d-4f93-92d4-99dce29ff40d	TCGA-A7-A0CE	TCGA-BRCA	9dc315ce-3b76-4754-b103-2c2580cde4ab	TCGA-A7-A0CE-01A	live	11	30.0	False
ba492de0-e9c3-4e5f-a16a-1350cce28a01	TCGA-A7-A0CE-01A-41-A21V-30	9d95a65b-e41d-4f93-92d4-99dce29ff40d	TCGA-A7-A0CE	TCGA-BRCA	9dc315ce-3b76-4754-b103-2c2580cde4ab	TCGA-A7-A0CE-01A	live	41	--	False
7a0dcaa3-a8ab-4437-b642-11872fbf6456	TCGA-A7-A0CE-01A-21-A13A-20	9d95a65b-e41d-4f93-92d4-99dce29ff40d	TCGA-A7-A0CE	TCGA-BRCA	9dc315ce-3b76-4754-b103-2c2580cde4ab	TCGA-A7-A0CE-01A	live	21	--	False
d9481516-79c0-4b9c-aba7-66565bac3805	TCGA-A7-A0CE-10A-01	9d95a65b-e41d-4f93-92d4-99dce29ff40d	TCGA-A7-A0CE	TCGA-BRCA	aac9a83d-4ee2-49a8-82de-debdf3e6848c	TCGA-A7-A0CE-10A	live	01	--	False
6edf32a9-95cb-4f56-825c-38098cc482e5	TCGA-D8-A146-10A-01	03da7a65-fa2f-42cb-a709-5fe8736f21d3	TCGA-D8-A146	TCGA-BRCA	21521e78-b89a-4556-9944-76a15444e3b7	TCGA-D8-A146-10A	live	01	2.0	False
68f5c253-d023-46d5-85f7-666768d1ec27	TCGA-D8-A146-01A-31	03da7a65-fa2f-42cb-a709-5fe8736f21d3	TCGA-D8-A146	TCGA-BRCA	e8232960-f69e-4491-9cf0-ed7bdcf20031	TCGA-D8-A146-01A	live	31	30.0	False
9953ddb6-cba3-4fd0-9917-42071efaabdb	TCGA-D8-A146-01A-21-A13D-20	03da7a65-fa2f-42cb-a709-5fe8736f21d3	TCGA-D8-A146	TCGA-BRCA	e8232960-f69e-4491-9cf0-ed7bdcf20031	TCGA-D8-A146-01A	live	21	--	False
d214c6c6-5cb2-442a-b282-d0e096757984	TCGA-WT-AB44-10A-01	5cd79093-1571-4f71-8136-0d84ccabdcac	TCGA-WT-AB44	TCGA-BRCA	f0f3cd01-18ef-42d4-ab56-bc6a20fe6587	TCGA-WT-AB44-10A	live	01	--	False
3921a510-e9e0-4fe2-8e93-3853150a235b	TCGA-WT-AB44-01A-11	5cd79093-1571-4f71-8136-0d84ccabdcac	TCGA-WT-AB44	TCGA-BRCA	081947cf-1635-4a57-9903-0c405ead6d84	TCGA-WT-AB44-01A	live	11	20.0	False
cb3c2364-2af2-49c1-8482-1b188d0a4cd9	TCGA-MS-A51U-01A-31	910655da-2c12-4572-96b7-ded616e69b4b	TCGA-MS-A51U	TCGA-BRCA	764a5732-0b44-4cbe-93f2-7b84fd7d81a1	TCGA-MS-A51U-01A	live	31	30.0	False
8eb29e3b-4e9b-481e-9bb2-564d1ee1a5dc	TCGA-MS-A51U-01A-21-A321-20	910655da-2c12-4572-96b7-ded616e69b4b	TCGA-MS-A51U	TCGA-BRCA	764a5732-0b44-4cbe-93f2-7b84fd7d81a1	TCGA-MS-A51U-01A	live	21	--	False
8b0ff0d7-ae37-4c14-8cf2-da53e9498be3	TCGA-MS-A51U-10A-01	910655da-2c12-4572-96b7-ded616e69b4b	TCGA-MS-A51U	TCGA-BRCA	45c1c2e8-a12b-4450-9486-e1ee941e5fa7	TCGA-MS-A51U-10A	live	01	2.0	False
97082535-48fa-465f-9025-048a3332309a	TCGA-EW-A6SA-10A-01	aba5f46a-e67a-4cd2-9c52-c0686968ff04	TCGA-EW-A6SA	TCGA-BRCA	680396b1-a19e-4acd-bef8-e1671b80aa31	TCGA-EW-A6SA-10A	live	01	2.0	False
3c4c4a1f-544e-4cb5-a1e8-50534496b737	TCGA-EW-A6SA-01A-31-A43F-20	aba5f46a-e67a-4cd2-9c52-c0686968ff04	TCGA-EW-A6SA	TCGA-BRCA	5a1bb598-9a38-452a-9599-365501038a88	TCGA-EW-A6SA-01A	live	31	--	False
